names,SRR1054284_1,SRR1054284_3,SRR1054284_5,SRR1054284_6,SRR1054284_7,SRR1054284_9
ENSG00000111328,0,1,0,0,0,0
ENSG00000111540,0,0,1,0,0,0
ENSG00000111711,0,0,1,0,0,0
ENSG00000111775,0,0,0,0,0,1
ENSG00000111785,0,1,0,0,0,0
ENSG00000112319,0,0,0,1,0,0
ENSG00000112473,0,0,0,0,1,0
ENSG00000112701,1,0,0,0,0,0
ENSG00000112812,0,1,0,0,0,0
ENSG00000113369,0,1,0,0,0,0
ENSG00000113558,1,0,0,0,0,0
ENSG00000113597,1,0,0,0,0,0
ENSG00000113645,0,0,1,0,0,0
ENSG00000113712,0,0,0,0,0,0
ENSG00000113719,0,0,0,1,0,0
ENSG00000113811,0,0,0,0,0,1
ENSG00000113924,0,0,0,0,0,1
ENSG00000114023,0,0,0,0,1,0
ENSG00000114391,0,1,0,0,0,0
ENSG00000114867,0,1,0,0,0,0
ENSG00000115207,0,0,0,0,0,0
ENSG00000115295,0,0,1,0,0,0
ENSG00000115380,0,1,0,0,0,0
ENSG00000115461,0,0,0,0,0,1
ENSG00000115738,0,0,0,1,0,0
ENSG00000116171,0,0,0,0,0,1
ENSG00000116260,0,0,0,0,0,1
ENSG00000116604,0,0,1,0,0,0
ENSG00000117318,1,0,0,0,0,0
ENSG00000117395,1,0,0,0,0,0
ENSG00000117472,0,0,0,0,0,2
ENSG00000118096,1,0,0,0,0,0
ENSG00000118762,0,0,0,0,0,1
ENSG00000118777,0,0,1,0,0,0
ENSG00000119318,0,0,1,0,0,0
ENSG00000119335,0,0,1,0,0,0
ENSG00000119638,0,1,0,0,0,0
ENSG00000120265,0,0,0,0,0,1
ENSG00000120693,0,0,1,0,0,0
ENSG00000120742,0,0,0,0,0,1
ENSG00000120885,1,0,0,0,0,0
ENSG00000121022,1,0,0,0,0,0
ENSG00000122176,0,0,0,0,0,1
ENSG00000122406,0,0,1,0,0,1
ENSG00000122642,0,0,0,0,0,1
ENSG00000122786,0,0,0,0,1,0
ENSG00000123560,0,1,0,0,0,0
ENSG00000124157,0,0,0,0,0,0
